Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,25189,25189,36,45.123674071538396,29.718666977714747,580.4026669939049,0.0,141.02004659162606,141.02004659162606,36,37,39,40,44,50,210,420,560,580,580
,Aggregated,25189,25189,36,45.123674071538396,29.718666977714747,580.4026669939049,0.0,141.02004659162606,141.02004659162606,36,37,39,40,44,50,210,420,560,580,580
