Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,544,0,2900.0,2830.3891380145988,626.6560830117669,4344.542916020146,731.0753676470588,3.1358378082169067,0.0,2900,3000,3100,3100,3300,3500,3600,3800,4300,4300,4300
,Aggregated,544,0,2900.0,2830.3891380145988,626.6560830117669,4344.542916020146,731.0753676470588,3.1358378082169067,0.0,2900,3000,3100,3100,3300,3500,3600,3800,4300,4300,4300
