Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,182,0,41000.0,42538.601322988325,1430.5500410264358,68537.14450000552,500.85164835164835,1.0198992326956464,0.0,41000,44000,47000,52000,62000,64000,66000,68000,69000,69000,69000
,Aggregated,182,0,41000.0,42538.601322988325,1430.5500410264358,68537.14450000552,500.85164835164835,1.0198992326956464,0.0,41000,44000,47000,52000,62000,64000,66000,68000,69000,69000,69000
