Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,1426,0,5900.0,5802.758912474907,641.3912080170121,7782.749416015577,731.2384291725106,7.968171573077896,0.0,5900,6100,6200,6300,6600,6800,7100,7300,7700,7800,7800
,Aggregated,1426,0,5900.0,5802.758912474907,641.3912080170121,7782.749416015577,731.2384291725106,7.968171573077896,0.0,5900,6100,6200,6300,6600,6800,7100,7300,7700,7800,7800
